timestamp,patientsAtNode1,patientsAtNode2,patientsAtNode3
2,3,0,0
4,19,0,0
6,29,2,0
8,33,5,1
9,27,9,1
11,21,15,0
13,2,24,0
15,0,32,0
17,0,36,0
19,0,39,0
21,0,40,0
23,1,40,0
24,0,39,0
26,1,37,0
28,0,41,0
30,1,41,0
32,1,39,1
34,0,34,3
36,0,28,6
38,0,27,6
39,0,26,4
41,0,21,6
43,1,18,6
45,0,17,7
47,1,11,8
49,1,6,6
51,1,4,7
53,1,0,8
54,1,0,10
56,1,0,10
58,0,1,9
60,0,0,8
62,0,0,14
64,0,0,12
66,0,1,13
68,0,0,10
69,1,0,11
71,1,0,12
73,0,1,14
75,1,0,10
77,1,1,11
79,1,0,5
81,1,1,5
83,0,2,6
84,1,2,4
86,2,0,5
88,2,0,4
90,0,4,3
92,1,0,3
94,1,0,4
96,1,0,6
98,2,2,3
99,1,2,0
101,0,3,0
103,0,4,0
105,1,1,2
107,2,0,2
109,2,1,1
111,3,0,5
113,2,1,2
114,3,0,3
116,2,0,4
118,1,0,4
120,0,0,3
122,0,0,1
126,2,0,1
128,2,0,3
129,2,0,2
133,1,0,1
135,1,0,2
137,1,1,1
139,1,0,1
141,1,0,2
143,3,0,3
144,2,0,3
146,2,0,2
148,2,0,2
150,2,0,3
152,1,0,3
154,1,0,1
158,1,0,1
165,0,0,3
167,1,0,0
169,0,0,2
171,0,0,2
173,1,1,0
174,1,1,0
176,2,0,1
178,2,0,0
180,1,0,1
184,1,0,0
188,0,1,0
189,0,0,0
199,1,0,0
201,0,0,0
208,1,0,0
219,0,0,0
223,1,0,0
225,1,0,1
227,1,0,0
233,0,0,0
253,1,0,0
257,1,0,1
259,0,0,1
261,1,0,1
263,1,0,0
264,1,0,1
274,1,0,0
276,0,0,1
278,1,0,1
279,1,0,0
283,1,0,1
285,1,0,0
289,0,0,0
302,0,0,1
306,0,0,0
308,0,0,1
323,0,0,0
